subject,side,fs,duration_s,mdf_start_hz,mdf_end_hz,mdf_slope_hz_per_min,forecast_match_pct,baseline_match_pct,beats_baseline,mdf_train_hz,mdf_pred_hz,mdf_actual_hz
1,R,250,178.856,64.0,53.25,-5.706495896586954,89.51287037142195,90.36882952015361,False,70.25,67.0,63.75
2,R,250,177.192,55.75,47.25,-6.2417529343150715,89.84897346310095,88.85767405393644,True,62.5,56.0,54.0
3,R,250,283.708,60.25,61.25,0.27057138483740567,91.28309400202643,94.95029145267152,False,67.25,68.25,67.0
4,R,250,255.764,69.0,54.25,-4.3384476940382415,90.33655720318019,92.27354518545812,False,66.0,58.0,60.75
5,R,250,191.104,75.75,70.75,-0.955875447025253,90.89397561579679,93.89645371139488,False,72.0,70.0,71.25
6,R,250,24.528,81.25,81.0,-2.1136363636364988,73.52943579800609,83.70824267727356,False,77.5,77.0,77.5
7,R,250,324.892,72.25,77.5,0.22412008281573936,92.26135966975464,95.31725079613382,False,75.5,76.0,75.5
8,R,250,348.604,81.5,77.0,-1.0084086199943387,91.97015442949132,95.90368574845712,False,75.25,71.25,74.25
9,R,250,260.316,65.0,64.5,-0.22104203935599057,92.10673919614746,95.21262363112292,False,65.5,65.5,64.5
10,R,250,257.048,70.0,50.0,-4.516398340832388,89.68515706794221,89.39104464630599,True,66.0,62.25,57.75
11,R,250,491.028,70.5,65.5,-1.2725642169436153,92.71068546390046,96.15481275138494,False,67.0,62.0,65.0
12,R,250,343.556,50.5,54.25,-0.9811035594555376,92.25175531369776,94.61884110391362,False,65.5,64.5,63.25
13,R,250,218.1,61.5,54.0,-2.676269684758059,90.88658691969182,93.54147868396731,False,65.5,63.5,61.5
